C1, 29.21, 26.67, 0.00, 1 uF, C0603
C2, 26.67, 35.56, 0.00, 1 uF, C0603
C3, 13.97, 26.67, 180.00, 1 uF, C0603
C4, 12.70, 30.73, 180.00, 47nF, C0603
C5, 19.05, 39.12, 270.00, 47nF, C0603
C6, 29.21, 24.13, 0.00, 47nF, C0603
C7, 13.97, 43.18, 180.00, 1 uF, C0603
C8, 17.78, 43.18, 0.00, 1 uF, C0603
J2, 5.34, 55.88, 90.00, 2057-MCR-B-S-RA-TSMT-NP-CS4-T/RCT-ND, CONN_10118192-0002LF_AMP
R11, 12.70, 32.77, 0.00, 10k, R0603
R12, 4.32, 17.27, 90.00, 1M, R0603
R13, 12.70, 34.80, 0.00, 10k, R0603
R14, 12.70, 36.83, 0.00, 10k, R0603
R15, 21.08, 39.12, 90.00, 10k, R0603
R16, 23.11, 39.12, 270.00, 10k, R0603
R17, 29.21, 19.05, 0.00, 10k, R0603
R18, 29.21, 16.51, 0.00, 10k, R0603
R19, 29.21, 13.97, 0.00, 10k, R0603
U1, 21.59, 29.21, 180.00, STM32F072CBT, LQFP48-7X7MM
U2, 16.51, 49.53, 0.00, AP2111H-3.3TRG1SOT-223_DIO-M, SOT-223_DIO-M
